Year,Month,DayofMonth,DayOfWeek,UniqueCarrier,TailNum,FlightNum,Origin,Dest,CRSDepTime,DepTime,DepDelay,TaxiOut,TaxiIn,CRSArrTime,ArrTime,ArrDelay,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Weekday,ArrDelay_positive,ArrDelay_log,DecimalDepTime,speed
2019,8,24,6,UA,N480UA,438,IAH,SEA,945,944.0,-1.0,15.0,12.0,1232,1227.0,-5.0,0.0,,0.0,287.0,283.0,256.0,1874.0,,,,,,Saturday,0.0,0.0,9.75,439.21875
2019,5,8,3,DL,N582NW,1650,ATL,LAX,1650,1701.0,11.0,14.0,36.0,1846,1902.0,16.0,0.0,,0.0,296.0,301.0,251.0,1947.0,0.0,0.0,16.0,0.0,0.0,Wednesday,16.0,2.833213344056216,16.833333333333332,465.41832669322713
2019,9,26,4,OO,N273SY,4524,SLC,DSM,1355,1354.0,-1.0,23.0,4.0,1723,1722.0,-1.0,0.0,,0.0,148.0,148.0,121.0,955.0,,,,,,Thursday,0.0,0.0,13.916666666666666,473.55371900826447
2019,3,3,7,DL,N388DA,1064,DEN,CVG,1133,1205.0,32.0,16.0,4.0,1600,1624.0,24.0,0.0,,0.0,147.0,139.0,119.0,1069.0,17.0,0.0,0.0,0.0,7.0,Sunday,24.0,3.2188758248682006,11.55,538.9915966386554
2019,12,18,3,YX,N652RW,3558,EYW,EWR,1315,1312.0,-3.0,26.0,10.0,1626,1639.0,13.0,0.0,,0.0,191.0,207.0,171.0,1196.0,,,,,,Wednesday,13.0,2.6390573296152584,13.25,419.64912280701753
2019,1,30,3,WN,N408WN,1679,BWI,MDW,1030,,,,,1130,,,1.0,B,0.0,120.0,,,611.0,,,,,,Wednesday,0.0,0.0,10.5,
2019,6,17,1,AA,N654AW,687,CLT,PBI,919,926.0,7.0,25.0,4.0,1105,1118.0,13.0,0.0,,0.0,106.0,112.0,83.0,590.0,,,,,,Monday,13.0,2.6390573296152584,9.316666666666666,426.50602409638554
2019,1,12,6,WN,N7714B,5198,BWI,ATL,1955,1950.0,-5.0,28.0,7.0,2155,2202.0,7.0,0.0,,0.0,120.0,132.0,97.0,577.0,,,,,,Saturday,7.0,2.0794415416798357,19.916666666666668,356.9072164948454
2019,6,16,7,DL,N832DN,401,LAS,DTW,1428,1449.0,21.0,43.0,11.0,2122,2217.0,55.0,0.0,,0.0,234.0,268.0,214.0,1749.0,16.0,0.0,34.0,0.0,5.0,Sunday,55.0,4.02535169073515,14.466666666666667,490.37383177570086
2019,8,9,5,F9,N216FR,1758,TPA,CVG,705,658.0,-7.0,23.0,5.0,917,913.0,-4.0,0.0,,0.0,132.0,135.0,107.0,773.0,,,,,,Friday,0.0,0.0,7.083333333333333,433.4579439252336
